Symbol,Description
YY,"Day of the month (UTC)"
GG,"Hour of observation (UTC)"
Id,"Wind indicator (Table 1734)"
MiMi,"Identification of the coded report (Table 2582)"
MjMj,"Identification of the part of the report (Table 2582)"
iii,"Station number"
99,"Indicator for surface data"
PoPoPo,"Pressure at sea level (hPa)"
ToToTo,"Temperature at surface (C)"
DoDo,"Dew point depression at surface"
dodo,"Wind direction at surface"
fofo,"Wind speed at surface"
PP,"Pressure of standard isobaric surface"
hhh,"Geopotential height"
TTT,"Temperature (TaTaTa)"
DD,"Dew point depression"
ddd,"Wind direction (true)"
ff,"Wind speed (knots)"
h,"Height of base of lowest cloud seen"
Nh,"Amount of cloud"
CL,"Clouds of the genera Stratocumulus, Stratus, Cumulus and Cumulonimbus"
CM,"Clouds of the genera Altocumulus, Altostratus and Nimbostratus"
CH,"Clouds of the genera Cirrus, Cirrocumulus and Cirrostratus"
88,"Indicator for tropopause data"
PtPtPt,"Pressure at tropopause level"
TtTtTt,"Temperature at tropopause level"
DtDt,"Dew point depression at tropopause level"
dt,"Wind direction at tropopause"
ft,"Wind speed at tropopause"
77,"Indicator for maximum wind level (does not coincide with top of sounding)"
66,"Indicator for maximum wind level (coincides with top of sounding)"
PmPmPm,"Pressure at the maximum wind level. The pressure of surfaces up to and including the 100-hPa surface shall be reported in whole hectopascals. Above the 100-hPa surface, pressure shall be reported in tenths of a hectopascal"
dmdm,"True direction (rounded off to the nearest 5°), in tens of degrees, from which maximum wind is blowing. When encoding wind direction that has been rounded off to the nearest 5°, the hundreds and tens figures of this rounded direction shall be reported by dd and the units figure shall be added to the hundreds figure of the wind speed."
fmfmfm,"Maximum wind speed"
4,"Indicator for vertical wind shear data"
vava,"Absolute value of the vector difference between the maximum wind and the wind blowing at 1 km above the level of maximum wind, in units indicated by YY."
vbvb,"Absolute value of the vector difference between the maximum wind and the wind blowing at 1 km below the level of maximum wind, in units indicated by YY."
31313,"Indicator for solar and instrument data"
sr,"Solar radiation correction"
rara,"Radiosonde sounding system used"
sasa,"Tracking technique/status of system used"
8,"Indicator for time group"
gg,"Minutes of time of observation"
41414,"Indicator for cloud data"
nn,"Significant level number"
21212,"Indicator for significant wind data"
51515,"Indicator for additional data"
9xxxx,"Indicator for regional data or system performance (ignored)"
